Date,Underground Journeys (m)
01/04/2010,90.5
02/05/2010,84.5
30/05/2010,84.3
27/06/2010,86.5
25/07/2010,82.9
22/08/2010,80.9
19/09/2010,88.7
17/10/2010,90.3
14/11/2010,90.6
12/12/2010,72.5
09/01/2011,84.4
06/02/2011,87.8
06/03/2011,83.5
01/04/2011,91.2
01/05/2011,87.8
29/05/2011,88.9
26/06/2011,92.5
24/07/2011,85.5
21/08/2011,85.3
18/09/2011,93.1
16/10/2011,95.8
13/11/2011,97.1
11/12/2011,79.3
08/01/2012,89.8
05/02/2012,91.5
04/03/2012,92.7
01/04/2012,88.7
29/04/2012,92.6
27/05/2012,89.7
24/06/2012,96.9
22/07/2012,103
19/08/2012,94
16/09/2012,98.2
14/10/2012,100.4
11/11/2012,101.9
09/12/2012,79
06/01/2013,91.7
03/02/2013,96.7
03/03/2013,96.6
01/04/2013,92.1
28/04/2013,97.2
26/05/2013,95.9
23/06/2013,100.8
21/07/2013,94.1
18/08/2013,91
15/09/2013,101.4
13/10/2013,103.7
10/11/2013,106.3
08/12/2013,83.9
05/01/2014,96.8
02/02/2014,94.3
02/03/2014,107
01/04/2014,88.8
27/04/2014,92.2
25/05/2014,98.2
22/06/2014,102.6
20/07/2014,97.3
17/08/2014,93.2
14/09/2014,104.1
12/10/2014,108.6
09/11/2014,111.2
07/12/2014,87
04/01/2015,100.2
01/02/2015,105.7
01/03/2015,116.3
01/04/2015,113.6
03/05/2015,102
31/05/2015,105.9
28/06/2015,101.3
26/07/2015,94.6
23/08/2015,97.6
20/09/2015,111.7
18/10/2015,112.7
15/11/2015,114
13/12/2015,85.4
10/01/2016,106.8
07/02/2016,109.3
06/03/2016,94.5
01/04/2016,114.2
01/05/2016,105.7
29/05/2016,104.2
26/06/2016,109.1
24/07/2016,101.1
21/08/2016,98.8
18/09/2016,110.4
16/10/2016,112.6
13/11/2016,116.7
11/12/2016,89
08/01/2017,101.9
05/02/2017,108.3
05/03/2017,106
01/04/2017,104.6
30/04/2017,106.1
28/05/2017,101.6
25/06/2017,109
23/07/2017,101
20/08/2017,96.4
17/09/2017,108.6
15/10/2017,110.6
12/11/2017,115.1
10/12/2017,87.7
07/01/2018,105.5
04/02/2018,105.3
04/03/2018,105.3
01/04/2018,103.5
29/04/2018,105.6
27/05/2018,104.4
24/06/2018,109
22/07/2018,100.4
19/08/2018,97.5
16/09/2018,109.9
14/10/2018,112.7
11/11/2018,118.2
09/12/2018,91.9
06/01/2019,106.7
03/02/2019,110.8
03/03/2019,114.1
01/04/2019,101.2
28/04/2019,106.1
26/05/2019,108
23/06/2019,111.7
21/07/2019,103
18/08/2019,99.4
15/09/2019,112.2
13/10/2019,113.3
10/11/2019,117.5
08/12/2019,91.2
05/01/2020,105.8
02/02/2020,106.2
01/03/2020,60.9
01/04/2020,5.7
03/05/2020,6.7
31/05/2020,13.3
28/06/2020,22.2
26/07/2020,28.8
23/08/2020,36.3
20/09/2020,39.5
18/10/2020,33.7
15/11/2020,32.1
13/12/2020,18.8
10/01/2021,16.8
07/02/2021,19.8
07/03/2021,22.4
01/04/2021,37.4
02/05/2021,42.5
30/05/2021,48.6
27/06/2021,49.6
25/07/2021,51.6
22/08/2021,58.2
19/09/2021,69.7
17/10/2021,73.7
14/11/2021,75.8
12/12/2021,45.4
09/01/2022,60.2
06/02/2022,65.4
06/03/2022,70.4
01/04/2022,79.2
01/05/2022,80.1
29/05/2022,71.7
26/06/2022,81.3
24/07/2022,73.9
21/08/2022,79.6
18/09/2022,88.2
16/10/2022,87.6
13/11/2022,95.1
11/12/2022,68.5
08/01/2023,85.2
05/02/2023,89.8
05/03/2023,84.9
01/04/2023,91.5
30/04/2023,88.2
28/05/2023,90.2
25/06/2023,94.1
